baseline_window,z,poisson_threshold,n_above,ratio_above
100,1.96,84.6189892603752,1052,0.7476901208244492
100,3.0,93.2207386638396,951,0.67590618336887
100,4.0,101.49165155178612,680,0.48329779673063256
150,1.96,83.52568627051369,1055,0.749822316986496
150,3.0,92.06578284035541,969,0.6886993603411514
150,4.0,100.2774141575109,720,0.511727078891258
200,1.96,85.41438874696524,1048,0.7448471926083866
200,3.0,94.0607446807291,929,0.660270078180526
200,4.0,102.37454846319434,650,0.4619758351101635
300,1.96,96.93804269875324,844,0.5998578535891969
300,3.0,106.20898145500776,580,0.41222459132906897
300,4.0,115.12334564371403,387,0.27505330490405117
